discovered_at,platform,source,event_id,event_slug,event_title,market_id,market_slug,question,event_type,active,closed,accepting_orders,end_date,volume,volume_24hr,liquidity,open_interest,best_bid,best_ask,last_trade_price,outcome_prices,outcomes,url,matched_keywords,notes
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558934,will-spain-win-the-2026-fifa-world-cup-963,Will Spain win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,37430182.93116949,2581749.7490730085,1189481.05768,29429961.422996998,0.169,0.17,0.169,"[""0.1695"", ""0.8305""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;spain;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558957,will-new-zealand-win-the-2026-fifa-world-cup-635,Will New Zealand win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,45484806.612645194,181885.0,17243854.67136,29429961.422996998,,0.001,0.001,"[""0.0005"", ""0.9995""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;new zealand;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558974,will-switzerland-win-the-2026-fifa-world-cup,Will Switzerland win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,38924884.64049369,3126651.874909999,1973695.29526,29429961.422996998,0.012,0.013,0.013,"[""0.0125"", ""0.9875""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;switzerland;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558935,will-england-win-the-2026-fifa-world-cup-937,Will England win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,32379210.94837939,2164893.5370219927,1647473.1452,29429961.422996998,0.108,0.109,0.108,"[""0.1085"", ""0.8915""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;england;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558992,will-team-am-win-the-2026-fifa-world-cup,Will Team AM win the 2026 FIFA World Cup?,champion_or_outright,False,False,True,2026-07-20T00:00:00Z,0.0,0.0,0.0,29429961.422996998,0,1,0,,"[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558936,will-france-win-the-2026-fifa-world-cup-924,Will France win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,43901350.08109319,1625664.689149,1360560.5962,29429961.422996998,0.16,0.161,0.16,"[""0.1605"", ""0.8395""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;france;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558961,will-south-korea-win-the-2026-fifa-world-cup-485,Will South Korea win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,48264507.56322681,2552100.2999670026,4100373.26163,29429961.422996998,0.002,0.003,0.003,"[""0.0025"", ""0.9975""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;korea;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558977,will-haiti-win-the-2026-fifa-world-cup,Will Haiti win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,32032190.571820088,135280.0,16993101.86734,29429961.422996998,,0.001,0.001,"[""0.0005"", ""0.9995""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;haiti;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558937,will-brazil-win-the-2026-fifa-world-cup-183,Will Brazil win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,33925144.930533014,2138228.3132789955,1878380.83255,29429961.422996998,0.084,0.085,0.084,"[""0.0845"", ""0.9155""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;brazil;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558962,will-jordan-win-the-2026-fifa-world-cup-233,Will Jordan win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,31612892.441882774,247820.0,17136749.1899,29429961.422996998,,0.001,0.001,"[""0.0005"", ""0.9995""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;jordan;world cup,
